1998090600,"Sunday, September 06th,1998",NULL,1,Texas Stadium,10,38,ARI,Cardinals,DAL,Cowboys
1998090601,"Sunday, September 06th,1998",NULL,1,Ericsson Stadium,19,14,ATL,Falcons,CAR,Panthers
1998090602,"Sunday, September 06th,1998",NULL,1,Qualcomm Stadium,14,16,BUF,Bills,SD,Chargers
1998090603,"Sunday, September 06th,1998",NULL,1,Lambeau Field,19,38,DET,Lions,GB,Packers
1998090604,"Sunday, September 06th,1998",NULL,1,Soldier Field,24,23,JAC,Jaguars,CHI,Bears
1998090605,"Sunday, September 06th,1998",NULL,1,RCA Dome,24,15,MIA,Dolphins,IND,Colts
1998090606,"Sunday, September 06th,1998",NULL,1,Trans World Dome,24,17,NO,Saints,STL,Rams
1998090607,"Sunday, September 06th,1998",NULL,1,3Com Park,30,36,NYJ,Jets,SF,49ers
1998090608,"Sunday, September 06th,1998",NULL,1,Ravens Stadium,20,13,PIT,Steelers,BAL,Ravens
1998090609,"Sunday, September 06th,1998",NULL,1,Veterans Stadium,38,00,SEA,Seahawks,PHI,Eagles
1998090610,"Sunday, September 06th,1998",NULL,1,Metrodome,07,31,TB,Buccaneers,MIN,Vikings
1998090611,"Sunday, September 06th,1998",NULL,1,Cinergy Field,23,14,TEN,Oilers,CIN,Bengals
1998090612,"Sunday, September 06th,1998",NULL,1,Giants Stadium,24,31,WAS,Redskins,NYG,Giants
1998090613,"Sunday, September 06th,1998",NULL,1,Arrowhead Stadium,08,28,OAK,Raiders,KC,Chiefs
1998090700,"Monday, September 07th,1998",NULL,1,Mile High Stadium,21,27,NE,Patriots,DEN,Broncos
1998091300,"Sunday, September 13th,1998",NULL,2,The Kingdome,14,33,ARI,Cardinals,SEA,Seahawks
1998091301,"Sunday, September 13th,1998",NULL,2,Giants Stadium,24,10,BAL,Ravens,NYJ,Jets
1998091302,"Sunday, September 13th,1998",NULL,2,Pro Player Stadium,07,13,BUF,Bills,MIA,Dolphins
1998091303,"Sunday, September 13th,1998",NULL,2,Superdome,14,19,CAR,Panthers,NO,Saints
1998091304,"Sunday, September 13th,1998",NULL,2,Three Rivers Stadium,12,17,CHI,Bears,PIT,Steelers
1998091305,"Sunday, September 13th,1998",NULL,2,Pontiac Silverdome,34,28,CIN,Bengals,DET,Lions
1998091306,"Sunday, September 13th,1998",NULL,2,Mile High Stadium,23,42,DAL,Cowboys,DEN,Broncos
1998091307,"Sunday, September 13th,1998",NULL,2,ALLTEL Stadium,16,21,KC,Chiefs,JAC,Jaguars
1998091308,"Sunday, September 13th,1998",NULL,2,Trans World Dome,38,31,MIN,Vikings,STL,Rams
1998091309,"Sunday, September 13th,1998",NULL,2,Network Associates Coliseum,17,20,NYG,Giants,OAK,Raiders
1998091310,"Sunday, September 13th,1998",NULL,2,Georgia Dome,12,17,PHI,Eagles,ATL,Falcons
1998091311,"Sunday, September 13th,1998",NULL,2,Vanderbilt Stadium,13,07,SD,Chargers,TEN,Oilers
1998091312,"Sunday, September 13th,1998",NULL,2,Lambeau Field,15,23,TB,Buccaneers,GB,Packers
1998091313,"Sunday, September 13th,1998",NULL,2,Foxboro Stadium,06,29,IND,Colts,NE,Patriots
1998091400,"Monday, September 14th,1998",NULL,2,Jack Kent Cooke Stadium,45,10,SF,49ers,WAS,Redskins
1998092000,"Sunday, September 20th,1998",NULL,3,ALLTEL Stadium,10,24,BAL,Ravens,JAC,Jaguars
1998092001,"Sunday, September 20th,1998",NULL,3,Raymond James Stadium,15,27,CHI,Bears,TB,Buccaneers
1998092002,"Sunday, September 20th,1998",NULL,3,Network Associates Coliseum,34,17,DEN,Broncos,OAK,Raiders
1998092003,"Sunday, September 20th,1998",NULL,3,Metrodome,06,29,DET,Lions,MIN,Vikings
1998092004,"Sunday, September 20th,1998",NULL,3,Cinergy Field,13,06,GB,Packers,CIN,Bengals
1998092005,"Sunday, September 20th,1998",NULL,3,Giants Stadium,06,44,IND,Colts,NYJ,Jets
1998092006,"Sunday, September 20th,1998",NULL,3,Pro Player Stadium,00,21,PIT,Steelers,MIA,Dolphins
1998092007,"Sunday, September 20th,1998",NULL,3,Rich Stadium,34,33,STL,Rams,BUF,Bills
1998092008,"Sunday, September 20th,1998",NULL,3,Arrowhead Stadium,07,23,SD,Chargers,KC,Chiefs
1998092009,"Sunday, September 20th,1998",NULL,3,Foxboro Stadium,16,27,TEN,Oilers,NE,Patriots
1998092010,"Sunday, September 20th,1998",NULL,3,The Kingdome,14,24,WAS,Redskins,SEA,Seahawks
1998092011,"Sunday, September 20th,1998",NULL,3,Sun Devil Stadium,03,17,PHI,Eagles,ARI,Cardinals
1998092100,"Monday, September 21st,1998",NULL,3,Giants Stadium,31,07,DAL,Cowboys,NYG,Giants
1998092700,"Sunday, September 27th,1998",NULL,4,Trans World Dome,20,17,ARI,Cardinals,STL,Rams
1998092701,"Sunday, September 27th,1998",NULL,4,3Com Park,20,31,ATL,Falcons,SF,49ers
1998092702,"Sunday, September 27th,1998",NULL,4,Jack Kent Cooke Stadium,38,16,DEN,Broncos,WAS,Redskins
