9476,1998,1
10134,1998,2
8433,1998,3
8889,1998,4
6723,1998,5
8443,1998,6
8378,1998,7
7654,1998,8
9003,1998,9
9446,1998,10
9600,1998,11
10329,1998,12
10600,1998,13
10502,1998,14
10019,1998,15
9883,1998,16
10021,1998,17
9535,1999,1
9661,1999,2
8801,1999,3
8660,1999,4
9255,1999,5
8958,1999,6
8923,1999,7
9020,1999,8
9060,1999,9
9537,1999,10
9633,1999,11
10098,1999,12
10493,1999,13
10227,1999,14
10581,1999,15
10581,1999,16
10659,1999,17
9658,2000,1
10273,2000,2
8879,2000,3
9111,2000,4
9856,2000,5
9123,2000,6
9799,2000,7
10026,2000,8
8917,2000,9
10084,2000,10
9787,2000,11
10336,2000,12
9892,2000,13
10312,2000,14
10071,2000,15
9421,2000,16
9711,2000,17
9465,2001,1
9167,2001,2
9021,2001,3
9829,2001,4
9596,2001,5
8958,2001,6
9590,2001,7
9274,2001,8
9911,2001,9
9808,2001,10
9998,2001,11
9939,2001,12
9639,2001,13
9781,2001,14
10270,2001,15
10474,2001,16
9732,2001,17
10865,2002,1
10880,2002,2
9135,2002,3
10048,2002,4
10409,2002,5
9585,2002,6
9700,2002,7
9128,2002,8
9256,2002,9
10517,2002,10
10749,2002,11
11369,2002,12
10973,2002,13
10785,2002,14
10843,2002,15
10156,2002,16
10664,2002,17
10129,2003,1
10671,2003,2
8830,2003,3
9651,2003,4
9695,2003,5
9229,2003,6
9358,2003,7
9039,2003,8
9271,2003,9
9130,2003,10
10806,2003,11
10796,2003,12
10754,2003,13
10307,2003,14
10966,2003,15
10786,2003,16
9867,2003,17
10821,2004,1
10400,2004,2
9876,2004,3
9363,2004,4
9675,2004,5
9647,2004,6
9673,2004,7
9942,2004,8
9253,2004,9
9653,2004,10
10237,2004,11
10976,2004,12
11674,2004,13
10825,2004,14
11000,2004,15
10589,2004,16
10725,2004,17
10723,2005,1
10508,2005,2
9723,2005,3
9403,2005,4
9353,2005,5
9429,2005,6
8877,2005,7
9557,2005,8
8944,2005,9
9012,2005,10
10708,2005,11
10994,2005,12
9830,2005,13
10409,2005,14
10316,2005,15
10969,2005,16
10091,2005,17
10056,2006,1
11009,2006,2
9759,2006,3
9273,2006,4
8553,2006,5
8746,2006,6
9189,2006,7
9254,2006,8
9338,2006,9
10957,2006,10
10758,2006,11
10485,2006,12
11002,2006,13
11512,2006,14
10344,2006,15
10252,2006,16
11365,2006,17
10360,2007,1
11435,2007,2
11211,2007,3
9534,2007,4
8903,2007,5
9433,2007,6
9391,2007,7
8551,2007,8
9772,2007,9
8717,2007,10
11129,2007,11
10891,2007,12
11159,2007,13
10831,2007,14
10182,2007,15
10921,2007,16
10757,2007,17
10573,2008,1
9848,2008,2
11022,2008,3
8919,2008,4
9186,2008,5
9428,2008,6
9533,2008,7
9762,2008,8
9375,2008,9
9544,2008,10
11115,2008,11
11004,2008,12
10546,2008,13
10427,2008,14
10770,2008,15
11280,2008,16
11247,2008,17
10712,2009,1
11528,2009,2
10888,2009,3
9466,2009,4
9560,2009,5
9881,2009,6
8853,2009,7
8861,2009,8
9344,2009,9
10648,2009,10
11584,2009,11
11230,2009,12
11450,2009,13
10587,2009,14
11664,2009,15
11143,2009,16
10648,2009,17
10411,2010,1
10930,2010,2
11834,2010,3
9371,2010,4
9866,2010,5
9949,2010,6
10052,2010,7
9273,2010,8
9009,2010,9
11197,2010,10
11361,2010,11
11470,2010,12
10903,2010,13
10756,2010,14
11000,2010,15
11149,2010,16
10634,2010,17
11782,2011,1
11853,2011,2
11302,2011,3
12130,2011,4
9828,2011,5
9370,2011,6
8764,2011,7
9221,2011,8
10176,2011,9
10884,2011,10
9839,2011,11
11225,2011,12
11405,2011,13
11443,2011,14
11586,2011,15
11607,2011,16
12186,2011,17
11274,2012,1
11676,2012,2
11751,2012,3
11498,2012,4
10136,2012,5
10627,2012,6
9274,2012,7
9848,2012,8
10429,2012,9
9836,2012,10
9829,2012,11
11936,2012,12
11652,2012,13
11354,2012,14
11136,2012,15
11258,2012,16
11046,2012,17
11648,2013,1
11979,2013,2
11930,2013,3
11350,2013,4
10433,2013,5
10893,2013,6
10439,2013,7
8863,2013,8
10693,2013,9
9393,2013,10
10960,2013,11
10267,2013,12
11973,2013,13
11627,2013,14
11945,2013,15
10673,2013,16
11148,2013,17
11947,2014,1
10961,2014,2
11657,2014,3
10090,2014,4
11130,2014,5
11208,2014,6
10489,2014,7
11509,2014,8
9260,2014,9
9067,2014,10
10039,2014,11
10213,2014,12
11593,2014,13
11646,2014,14
10571,2014,15
11562,2014,16
11435,2014,17
601,,
